,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity
80168189,Alex Strangelove,"Daniel Doheny, Madeline Weinstein, Antonio Marziale","Teen Films, Teen Romance, Comedies, Romantic Comedies, Dramas, Independent Dramas, Romantic Dramas, Independent Films, Independent Comedies, Romantic Independent Films, Romantic Films",Craig Johnson,16+ ,High school senior Alex Truelove's plan to lose his virginity to lovable girlfriend Claire goes awry when he meets the equally lovable Elliot.,
80117531,When We First Met,"Adam DeVine, Alexandra Daddario, Shelley Hennig","Hollywood Films, Comedies, Romantic Comedies, Romantic Films",Ari Sandel,13+ ,"Using a magical photo booth that sends him back in time, Noah relives the night he met Avery over and over, trying to persuade her to fall for him.",Adam Devine pursues Alexandra Daddario in this romantic comedy that also features Robbie Amell.
80184625,Irreplaceable You,"Gugu Mbatha-Raw, Michiel Huisman, Christopher Walken","Hollywood Films, Dramas, Romantic Dramas, Romantic Films",Stephanie Laing,13+ ,"A stunning cancer diagnosis spurs Abbie to seek a future girlfriend for fiancé and childhood sweetheart Sam, who's clueless when it comes to dating.",
80057691,XOXO,"Sarah Hyland, Graham Phillips, Chris D'Elia","Hollywood Films, Dramas",Christopher Louie,16+ ,"The lives of a budding DJ, his loyal pal, a hopeless romantic, a jaded has-been and a troubled couple intersect at an electronic dance music festival.","Co-producer Pete Tong is a dance music DJ and BBC Radio 1 host, and was a music supervisor for ""24 Hour Party People."""
80182014,Rudy Ray Moore,,Dramas,,,"When Hollywood shut him out in the 1970s, multi-talented Rudy Ray Moore created his own work, including the well-known blaxploitation film, ""Dolemite.""",
80077402,Mercy,"James Wolk, Caitlin Fitzgerald, Tom Lipinski","Hollywood Films, Dramas, Thrillers",Chris Sparling,16+ ,Two brothers clash with their half-siblings when a visit home to see their dying mother surfaces old secrets and becomes a fight for survival.,
80064459,Rebirth,"Fran Kranz, Adam Goldberg, Nicky Whelan","Hollywood Films, Dramas, Thrillers, Mind Game Thrillers, Psychological Thrillers",Karl Mueller,16+ ,"Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence.",
80156857,In the Shadow of Iris,"Romain Duris, Charlotte Le Bon, Jalil Lespert","International Films, French Films, Crime Films, Crime Dramas, Dramas, Thrillers, Crime Thrillers",Jalil Lespert,16+ ,"The sudden disappearance of a wealthy banker's wife cracks open a dizzying world of secret fetishes, desperate acts and elaborate deceptions.","This thriller reunites Romain Duris and Charlotte Le Bon, who both appeared in Michel Gondry's quirky ""Mood Indigo."""
80093198,Tallulah,"Ellen Page, Allison Janney, Tammy Blanchard","Dramas, Independent Dramas, Independent Films",Sian Heder,16+ ,"While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own.","This debut film from ""Orange Is the New Black"" writer Sian Heder reunites ""Juno"" co-stars Ellen Page and Allison Janney."
80103734,Shimmer Lake,"Benjamin Walker, Rainn Wilson, Rob Corddry","Crime Films, Crime Dramas, Dramas, Independent Dramas, Thrillers, Crime Thrillers, Independent Thrillers, Mysteries, Independent Films",Oren Uziel,16+ ,"Unfolding in reverse time, this darkly comic crime thriller follows a local sheriff hunting three bank robbery suspects, one of whom is his brother.",
80115857,The Discovery,"Jason Segel, Rooney Mara, Robert Redford","Dramas, Independent Dramas, Romantic Dramas, Mysteries, Independent Films, Romantic Independent Films, Romantic Films, Sci-Fi & Fantasy",Charlie McDowell,16+ ,"A scientist whose proof of an afterlife caused a rash of suicides forges ahead with his research, while his disapproving son falls for a troubled woman.","Robert Redford, Jason Segel and Rooney Mara star in this sci-fi indie that premiered at the Sundance Film Festival."
