Unnamed: 0,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,tconst,averageRating,imdb_rank,page_rank,page_rank_int
80245357,Perdida,"Luisana Lopilato, Amaia Salamanca, Rafael Spregelburd","International Films, Latin American Films, Dramas, Dramas based on a book, Thrillers",Alejandro Montiel,16+ ,"A policewoman whose childhood friend disappeared in Patagonia years ago starts a new search to find answers, and soon finds her own life in danger.","Luisana Lopilato (""Rebelde Way"") and Amaia Salamanca (""Gran Hotel"") star in this adaption of Florencia Etcheves's ""Cornelia.""",tt7841496,5.5,659.5,9.157177406119517e-05,467.0
80119233,Mute,"Alexander Skarsgård, Paul Rudd, Justin Theroux","Hollywood Films, Crime Films, Gangster Films, Thrillers, Crime Thrillers, Mysteries, Sci-Fi Thrillers, Sci-Fi & Fantasy, Cyberpunk",Duncan Jones,16+ ,"When his girlfriend vanishes, a mute man ventures into a near-future Berlin's seamy underworld, where his actions speak louder than words.","Alexander Skarsgård, Paul Rudd and Justin Theroux star in this futuristic thriller from director Duncan Jones (""Moon"").",tt6920620,9.0,14.0,7.927186444375309e-05,516.0
80083594,Marco Polo: One Hundred Eyes,"Tom Wu, Benedict Wong, Michelle Yeoh","Period Pieces, Series, American Programmes, Action & Adventure Programmes, Drama Programmes",Alik Sakharov,16+ ,A defiant warrior-monk arrives at Kublai Khan's court in chains and soon earns his tragic nickname in this 30-minute origin story.,,tt5235348,7.9,157.5,7.095352843847827e-05,573.0
80175352,Troy: Fall of a City,"Louis Hunter, Bella Dayne, Frances O'Connor","Series, TV Programmes based on Books, Romance Programmes, British Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,"Searching for the woman promised to him by Aphrodite, herdsman Paris learns his true identity and falls for Helen of Sparta, igniting the Trojan War.","David Threlfall (Priam), Jonas Armstrong (Menelaus) and Joseph Mawle (Odysseus) can also be seen in ""Ripper Street.""",tt5103758,3.8,731.0,0.00011527962610685583,402.0
80993613,The Rise of Phoenixes,"Chen Kun, Ni Ni, Zhao Lixin","Period Pieces, Series, Chinese  Programmes, TV Programmes based on Books, Romance Programmes, Asian Programmes, Action & Adventure Programmes, Drama Programmes",,13+ ,"When a secret from the past rears its head, a respected court scholar must choose between avenging her family and staying true to the prince she loves.","Asian Film Award winner Ni Ni (""Enter the Warriors Gate""), one of China's most bankable stars, leads this period drama's cast.",tt7052634,8.9,21.5,0.002089672134627141,110.0
80097225,Kiss Me First,"Tallulah Haddon, Simona Brown, Matthew Beard","Series, TV Programmes based on Books, Teen Programmes, Crime Programmes, British Programmes, Action & Adventure Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes, Cyberpunk",,16+ ,A lonely young woman hooked on a virtual reality game befriends a party girl who leads her into a world of new thrills and dark secrets.,,tt5730690,6.3,547.0,7.636968226139186e-05,528.0
80113201,Skylanders Academy,"Justin Long, Jason Ritter, Ashley Tisdale","Animation, Series, Kids’ Programmes, Comedy Programmes, TV Cartoons",,7+ ,Travel the vast Skylander universe in this animated series as a ragtag group of academy graduates build trust and heart in their fight against evil.,This animated adventure series is based on one of the 20 highest-selling video game franchises of all time.,tt5916218,6.9,409.0,0.000369580335366572,276.0
80075595,Voltron: Legendary Defender,"Jeremy Shada, Tyler Labine, Bex Taylor-Klaus","Animation, Series, Kids’ Programmes, TV Cartoons",,7+ ,"In an all-new series, five unlikely heroes and their flying robot lions unite to form the megapowerful Voltron and defend the universe from evil.",The original series was the No. 1 syndicated children's show in the U.S. during its two-year run in the 1980s.,tt5580664,8.3,78.0,0.0015246824128306348,192.0
80095988,Stretch Armstrong & the Flex Fighters,"Scott Menville, Steven Yeun, Ogie Banks","Animation, Series, Kids’ Programmes, Superheroes, TV Cartoons",,7+ ,Jake Armstrong and his best friends are unexpectedly transformed into superheroes who learn to reach far beyond the limits of any ordinary teenager.,,tt1379164,6.8,429.0,0.00031185700127763926,286.0
80058852,Project Mc²,"Mika Abdalla, Genneya Walton, Victoria Vida","Series, Kids’ Programmes",,7+ ,Teenage spy McKeyla teams up with three other super-smart girls to become secret agents who use their science and tech skills to save the day.,"Danica McKellar, author of New York Times best-selling math books, appears as the leader of secret organization NOV8.",tt4861760,6.1,590.5,0.0005062622576038146,242.0
