,Unnamed: 0,Key,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by,imdb,Time
0I9WWNH0WX2Q545OV1W8O1SFE1,,,Interstellar,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","Action, Science Fiction",Christopher Nolan, 13+ Teens,,,wb,,,
0F71GTFKW5U4X5VOC72CETEWH2,,,Kapoor & Sons,,"Drama, International",, 13+ Teens,,,,,7.7,137.0
0LPHD3ZP0K6457RBJI6V8CS9JK,,,Shaandaar,"Shahid Kapoor, Alia Bhatt, Pankaj Kapur","International, Comedy",Vikas Bahl, 13+ Teens,,,,,3.7,142.0
0T60VVW8IMYDTNWXB67SBI5MV5,,,Hasee Toh Phasee,"Parineeti Chopra, Sidharth Malhotra, Sharat Saxena","International, Drama, Comedy",Vinil Matthew, 13+ Teens,,,Dharma Productions,,6.8,134.0
0IIEBRJZ0JFRX1E59RPYTH5T0X,,,Baar Baar Dekho,,"Drama, Science Fiction, Romance, International",, 13+ Teens,,,,,5.3,135.0
0IE4OTVPZWMUQQD5HW9QRZ9F4S,,,Shuddh Desi Romance,"Sushant Singh Rajput, Parineeti Chopra, Vaani Kapoor","Romance, International, Drama",Maneesh Sharma, 13+ Teens,,,,,5.8,126.0
0IIFS1ZBVO0MRPT9LRZZI8B36I,,,Hate Story 4,"Urvashi Rautela, Ihana Dhillon, Gulshan Grover","International, Drama, Suspense",Vishal Pandya, 18+ Adults,,,,,,
0GQGCOKYC83XK4LDTETCUOH8R1,,,Bachna Ae Haseeno,"Ranbir Kapoor, Bipasha Basu, Minissha Lamba","Romance, Drama, International",Siddharth Anand, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,6.2,152.0
0I9V8J7ULXMS79SCYQS7FN0JS3,,,Rab Ne Bana Di Jodi,"Shah Rukh Khan, Anushka Sharma, Rani Mukerji","Romance, Drama, International",Aditya Chopra, 13+ Teens,,,,,7.2,163.0
0I1CGJEFXAXCYAY09G090B3WP3,,,Sarbjit,"Randeep Hooda, Aishwarya Rai Bachchan, Richa Chadha","International, Drama",Omung Kumar, 13+ Teens,,,,,7.3,126.0
0HBRM5ELF00RRXSEFQF10R60KU,,,Ungli,"Emraan Hashmi, Kangana Ranaut, Sanjay Dutt","International, Drama",Renzil D'Silva, 13+ Teens,,,,,5.8,113.0
0L4641W6OEL0N30JILPP8376Z6,,,Aurangzeb,"Rishi Kapoor, Arjun Kapoor, Jackie Shroff","International, Drama",Atul Sabharwal, 16+ Young Adults,,,Yash Raj Films Pvt. Ltd.,,6.6,137.0
0NPYDN02TC3194IHKH13GHFFNY,,,Shivaay,"Ajay Devgn, Vir Das, Abigail Eames","Drama, International",Ajay Devgn, 13+ Teens,,,,,6.3,153.0
0R9URIU9LO88EF7TB64UGMTLW7,,,Chef,,"International, Drama",, 13+ Teens,,,,,,
0OJS88FLGJVKJPEL1DXSYM87EM,,,Dum Laga Ke Haisha,,"International, Drama",, 13+ Teens,,,,,7.5,110.0
0FO40STW8Y4KZCHPUH0RCNYCIF,,,Insidious,"Patrick Wilson, Rose Byrne, Lin Shaye",Horror,James Wan, 13+ Teens,,,FilmDistrict,,6.6,105.0
0OFJ8RC2SCVFF8F1G8IPP7DI7L,,,Jessabelle,"Sarah Snook, Mark Webber, David Andrews",Horror,Kevin Greutert, 13+ Teens,,,Lionsgate,,5.4,90.0
0RV5TIC90RA99L88F0ACQUA3TZ,,,The Covenant,"Steven Strait, Sebastian Stan, Laura Ramsey","Horror, Fantasy",Renny Harlin, 13+ Teens,,,Lakeshore Entertainment Corporation,,5.3,97.0
0MJBZL0CALR1YRCZYI95D99ATG,,,The Grudge (2004 Remake),"Sarah Michelle Gellar, Jason Behr. William Mapother, Clea DuVall",Horror,Takashi Shimizu, 13+ Teens,,,Lionsgate,,5.9,91.0
0RQW1EUE3MK5WJWEV56IQD9NZW,,,The Fog,"Tom Welling, Maggie Grace, Selma Blair",Horror,Rupert Wainwright, 13+ Teens,,,Fog Productions,,3.6,100.0
0H3ACTQ7DE140KFSVODQYDRK9G,,,Boogeyman,"Barry Watson, Emily Deschanel, Lucy Lawless","Horror, Suspense",Stephen Kay, 13+ Teens,,,"Ghost House Pictures Holdings, LLC",,,
0GZ0O97SOB4VWFWCTVWY2LCZ56,,,Gravity,"Sandra Bullock, George Clooney","Science Fiction, Suspense",Alfonso Cuarón, 13+ Teens,,,Warner Bros.,,,
0IIFI24S2716X1GBR08NH1F3R4,,,Wrath of the Titans,"Sam Worthington, Rosamund Pike, Bill Nighy","Fantasy, Action",Jonathan Liebesman, 13+ Teens,,,Warner Bros.,,,
0P53I11JTXHN3C8TZLO4HK5RRV,,,Mere Brother Ki Dulhan,"Imran Khan, Katrina Kaif, Ali Zafar","Romance, International, Comedy",Ali Abbas Zafar, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,5.9,139.0
0JGHZ860TVJ2GJWCQDYVVIZ963,,,Piku,,"International, Drama, Comedy",, 13+ Teens,,,,,7.6,117.0
0IQX4XHXKUNY0S0CJ7S535EEU8,,,Mere Dad Ki Maruti,"Saqib Saleem, Rhea Chakraborty, Ram Kapoor","International, Comedy",Ashima Chibber, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,6.5,101.0
0KABXK1J44L6C7MKF5FD4DZGQ4,,,Fukrey,,"Drama, International, Comedy",, 13+ Teens,,,,,6.9,135.0
0FSCO4KS3C7VWFTRMS52C8HC4G,,,Rocket Singh Salesman of the Year,,"Comedy, Drama, International",, 7+ Older Kids,,,,,7.5,154.0
0KACT2M2PNCDDBVY9X07VBQMRI,,,Lipstick Under My Burkha,"Konkona Sensharma, Ratna Pathak Shah, Aahana Kumra",International,Alankrita Shrivastava, 18+ Adults,,,ALT Entertainment presents a Prakash Jha Productions film,,6.9,119.0
0R5LRBG7SW8AQXW2HD7IKRHNJD,,,Nishant Tanwar,,,,,,,,,,
0SGGSWAO17VAG4R5XJVV2YFUQ0,,,Biswa Kalyan Rath,,"International, Arts, Entertainment, and Culture",, 18+ Adults,,,,,8.4,60.0
0QK92LDX109G2ETDMARWF6VKNQ,,,Best of AIB,,"Comedy, International",, 16+ Young Adults,,,OML,,8.2,
0I5NWIA6SO8DDODDUWB6506BGY,,,Satyameva Jayate,"John Abraham, Manoj Bajpayee, Aisha Sharma","International, Action",Milap Zaveri, 18+ Adults,,,,,,
0IV7Q1YJ3A81QZ2I5FVZDAX0HO,,,Baywatch,"Dwayne Johnson, Zac Efron, Alexandra Daddario","Comedy, Action",Seth Gordon, 18+ Adults,,,,,5.6,116.0
0RZED4YZX5W5QPFAO0O6660VYS,,,Murder,"Emraan Hashmi, Mallika Sherawat, Ashmit Patel","International, Romance, Suspense","Anurag Basu, Mahesh Bhatt", 18+ Adults,,,Vishesh Films,,5.4,128.0
0IZHXNTKKJRWCMBXBG2CW1W5RG,,,Best Of Waiting Lounge,"Sanket Bhosle, Sugandha Mishra",Comedy,Pankaj Saraswat, 16+ Young Adults,,,Shemaroo Entertainment Ltd,,,
0G55379FDEUW8JGV0LP0L3UMZR,,,Daawat e Ishq,,"Comedy, Romance, International",, 7+ Older Kids,,,,,6.2,118.0
0TAAC30IIN6QQ2RNAEDBA37FAI,,,Ishaqzaade,"Arjun Kapoor, Parineeti Chopra","Drama, Romance, International",Habib Faisal, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,6.6,131.0
0KRDQR6EGEIDJ4923SW22T8PVH,,,Ta Ra Rum Pum,,"International, Drama, Romance",, 7+ Older Kids,,,,,5.6,155.0
0N4MSOGAXQY3K2AO7O0K85PBS3,,,Hum Tum,,"International, Romance, Comedy",, 7+ Older Kids,,,,,7.0,142.0
0GHXG38W4ZNA9UHPZR98ZLXKP7,,,Salaam Namaste,"Saif Ali Khan, Preity Zinta, Arshad Warsi","Drama, International, Romance",Siddharth Raj Anand, 13+ Teens,,,,,6.2,158.0
0QFZGYK96DJ5SGMSGW5ZSDDICG,,,Gori Tere Pyaar Mein,"Imran Khan, Kareena Kapoor, Shraddha Kapoor","Romance, Drama, International",Punit Malhotra, 13+ Teens,,,,,5.0,144.0
0JTA4DCIE2BQ14BXW86DCXNRYX,,,Kabhi Khushi Kabhie Gham,"Amitabh Bachchan, Shah Rukh Khan, Hrithik Roshan","Drama, International",Karan Johar, All Ages Kids,,,,,7.5,209.0
